Date,y
2013-07-08,0.5
2013-10-08,0.5
2014-01-13,0.5
2014-02-13,0.5
2014-03-18,0.5
2014-04-22,0.5
2014-05-05,0.5
2014-06-16,0.5
2014-07-30,0.5
2014-08-07,0.5
2014-09-03,0.5
2014-10-07,0.5
2014-11-04,1.0
2014-12-02,2.0
2015-01-12,1.0
2015-02-09,2.0
2015-03-04,2.0
2015-04-03,1.0
2015-05-05,1.0
2015-05-20,0.5
2015-06-02,0.5
2015-07-02,1.0
2015-08-05,0.5
2015-09-09,0.5
2015-10-06,0.5
2015-11-06,0.5
2015-12-03,0.5
2016-01-07,0.5
2016-02-04,0.5
2016-03-07,1.0
2016-04-05,0.5
2016-05-03,0.5
2016-06-03,0.5
2016-07-29,0.5
2016-08-25,0.5
2016-09-19,0.5
2016-10-18,0.5
2016-11-03,0.5
2016-12-01,0.5
2017-01-04,0.5
2017-02-08,0.5
2017-03-16,0.5
2017-04-10,0.5
2017-05-23,0.5
2017-06-14,0.5
2017-07-24,0.5
2017-08-02,0.5
2017-09-07,0.5
2017-10-03,0.5
2017-11-13,0.5
2017-12-19,0.5
2018-01-17,0.5
2018-02-07,0.5
2018-03-20,0.5
2018-04-03,0.5
2018-05-10,0.5
2018-06-06,0.5
2018-07-11,0.5
2018-08-08,0.5
2018-09-05,0.5
2018-10-03,0.5
2018-11-05,0.5
2018-12-04,0.5
2019-01-16,0.5
2019-02-04,0.5
2019-03-13,0.5
2019-04-03,0.5
2019-05-01,0.5
2019-06-05,0.5
2019-07-18,0.5
2019-08-06,0.5
2019-09-05,0.5
2019-10-04,0.5
2019-11-04,0.5
2019-12-05,0.5
2020-01-10,0.5
2020-02-06,0.5
2020-03-10,0.5
2020-04-08,0.5
2020-05-04,0.5
2020-06-01,0.5
2020-07-09,0.5
2020-08-05,0.5
2020-09-02,0.5
2020-10-02,0.5
2020-11-04,1.0
2020-12-04,0.5
2002-04-08,21.0
2002-04-15,21.0
2002-07-30,20.0
2002-11-05,24.0
2003-01-24,18.0
2003-04-24,20.0
2003-07-30,22.0
2003-09-26,18.0
2003-10-20,12.0
2003-11-22,19.0
2003-12-02,18.0
2004-01-08,17.0
2004-02-17,15.0
2004-03-01,17.0
2004-04-01,16.0
2004-07-08,15.0
2004-10-25,13.0
2005-01-18,13.0
2005-04-04,12.0
2005-07-22,11.0
2005-10-05,11.0
2006-01-16,10.0
2006-04-11,11.0
2006-07-11,11.0
2006-10-18,12.0
2007-01-17,10.0
2007-04-18,9.0
2007-07-18,10.0
2007-10-10,11.0
2008-04-21,13.0
2008-10-21,18.0
2009-04-23,20.0
2009-10-13,20.0
2010-05-20,28.0
2010-11-02,20.0
2011-04-29,28.0
2011-10-07,31.0
2012-08-16,58.0
2013-07-11,100.0
2013-10-08,82.0
2014-01-15,91.0
2014-02-13,80.0
2014-03-18,82.0
2014-04-21,85.0
2014-05-02,88.0
2014-06-13,91.0
2014-07-30,92.0
2014-08-07,91.0
2014-09-03,87.0
2014-10-09,90.0
2014-11-04,95.0
2014-12-03,96.0
2015-01-15,86.0
2015-02-09,93.0
2015-03-04,100.0
2015-04-06,96.0
2015-05-05,86.0
2015-06-04,91.0
2015-07-06,92.0
2015-08-06,97.0
2015-09-10,96.0
2015-10-29,110.0
2015-11-06,110.0
2015-12-03,100.0
2016-01-06,110.0
2016-02-02,100.0
2016-03-10,100.0
2016-04-04,110.0
2016-05-05,120.0
2016-06-06,97.0
2016-07-29,53.0
2016-08-26,110.0
2016-09-20,120.0
2016-10-18,108.0
2016-11-10,120.0
2016-12-12,120.0
2017-01-05,120.0
2017-02-08,100.0
2017-03-09,110.0
2017-04-10,110.0
2017-05-24,100.0
2017-06-09,130.0
2017-07-25,110.0
2017-08-03,110.0
2017-09-07,110.0
2017-10-05,120.0
2017-11-14,110.0
2017-12-20,100.0
2018-01-17,99.0
2018-02-07,84.0
2018-03-26,93.0
2018-04-04,110.0
2018-05-09,110.0
2018-06-07,110.0
2018-07-12,91.0
2018-08-16,100.0
2018-09-06,100.0
2018-10-04,100.0
2018-11-07,110.0
2018-12-04,99.0
2019-01-17,100.0
2019-02-04,96.0
2019-03-14,100.0
2019-04-04,92.0
2019-05-02,100.0
2019-06-05,92.0
2019-07-18,100.0
2019-08-06,91.0
2019-09-06,99.0
2019-10-07,92.0
2019-11-04,94.0
2019-12-05,92.0
2020-01-17,88.0
2020-02-07,90.0
2020-03-10,100.0
2020-04-08,80.0
2020-05-01,91.0
2020-06-02,86.0
2020-07-08,84.0
2020-08-05,82.0
2020-09-01,81.0
2020-10-06,89.0
2020-11-06,69.0
2020-12-02,120.0
2002-04-08,61.0
2002-04-15,61.0
2002-07-30,64.0
2002-11-05,99.0
2002-12-09,82.0
2003-01-24,80.0
2003-02-21,89.0
2003-03-20,75.0
2003-04-24,80.0
2003-05-27,81.0
2003-06-19,84.0
2003-07-30,96.0
2003-08-27,98.0
2003-09-26,90.0
2003-10-20,88.0
2003-11-22,102.0
2003-12-02,93.0
2004-01-08,96.0
2004-02-17,93.0
2004-03-01,108.0
2004-04-01,99.0
2004-07-08,70.0
2004-10-25,99.0
2005-01-18,113.0
2005-04-04,115.0
2005-07-22,109.0
2005-10-05,108.0
2006-01-16,107.0
2006-04-11,115.0
2006-07-11,125.0
2006-10-18,119.0
2007-01-17,123.0
2007-04-18,119.0
2007-07-18,144.0
2007-10-10,154.0
2008-04-21,128.0
2008-10-21,133.0
2009-04-23,140.0
2009-10-13,164.0
2010-05-20,177.0
2010-11-02,123.0
2011-04-29,184.0
2011-10-07,155.0
2012-08-16,200.0
2013-01-17,152.0
2013-02-12,184.0
2013-03-26,272.0
2013-04-12,242.0
2013-05-17,320.0
2013-06-17,310.0
2013-07-11,290.0
2013-08-07,240.0
2013-09-04,240.0
2013-10-08,250.0
2013-11-12,280.0
2013-12-03,350.0
2014-01-15,290.0
2014-02-13,270.0
2014-03-18,280.0
2014-04-21,270.0
2014-05-02,290.0
2014-06-13,300.0
2014-07-30,300.0
2014-08-07,270.0
2014-09-03,290.0
2014-10-09,300.0
2014-11-04,300.0
2014-12-03,360.0
2015-01-15,270.0
2015-02-09,260.0
2015-03-04,290.0
2015-04-06,300.0
2015-05-05,280.0
2015-06-04,280.0
2015-07-06,260.0
2015-08-06,260.0
2015-09-10,290.0
2015-10-29,280.0
2015-11-06,290.0
2015-12-03,280.0
2016-01-06,300.0
2016-02-02,290.0
2016-03-10,260.0
2016-04-04,270.0
2016-05-05,290.0
2016-06-06,220.0
2016-07-29,280.0
2016-08-26,300.0
2016-09-20,340.0
2016-10-18,290.0
2016-11-10,300.0
2016-12-12,280.0
2017-01-11,290.0
2017-02-08,240.0
2017-03-09,270.0
2017-04-10,270.0
2017-05-24,250.0
2017-06-09,260.0
2017-07-25,280.0
2017-08-03,260.0
2017-09-07,280.0
2017-10-05,370.0
2017-11-14,280.0
2017-12-22,240.0
2018-01-18,260.0
2018-02-07,230.0
2018-03-28,230.0
2018-04-04,280.0
2018-05-09,280.0
2018-06-07,260.0
2018-07-12,250.0
2018-08-16,280.0
2018-09-06,270.0
2018-10-04,290.0
2018-11-07,300.0
2018-12-04,300.0
2019-01-17,310.0
2019-02-04,280.0
2019-03-14,260.0
2019-04-04,280.0
2019-05-02,290.0
2019-06-05,270.0
2019-07-18,300.0
2019-08-06,250.0
2019-09-06,220.0
2019-10-07,240.0
2019-11-04,260.0
2019-12-05,270.0
2020-01-17,250.0
2020-02-07,240.0
2020-03-10,280.0
2020-04-08,260.0
2020-05-01,250.0
2020-06-02,240.0
2020-07-08,250.0
2020-08-05,280.0
2020-09-01,260.0
2020-10-06,290.0
2020-11-06,300.0
2020-12-02,230.0
2002-11-07,7.0
2003-02-03,9.0
2003-04-29,10.0
2003-08-08,15.0
2003-10-22,12.0
2004-01-16,16.0
2004-04-30,15.0
2004-07-13,18.0
2004-10-21,21.0
2005-01-10,22.0
2005-05-05,19.0
2005-08-05,23.0
2005-10-10,23.0
2006-01-16,25.0
2006-05-15,29.0
2006-07-17,29.0
2006-10-18,31.0
2007-01-05,33.0
2007-04-19,34.0
2007-07-19,36.0
2007-10-17,39.0
2008-03-25,42.0
2008-04-09,39.0
2008-07-18,53.0
2008-10-08,50.0
2009-01-26,59.0
2009-04-07,62.0
2009-07-15,69.0
2009-10-08,73.0
2010-01-14,72.0
2010-04-13,71.0
2010-07-15,96.0
2010-08-06,99.0
2010-10-08,100.0
2011-01-04,115.0
2011-04-14,118.0
2011-08-02,160.0
2011-10-19,144.0
2012-08-10,185.0
2013-07-17,230.0
2014-08-22,190.0
2015-07-24,230.0
2016-09-01,330.0
2017-07-24,370.0
2018-09-21,320.0
2019-08-09,360.0
2020-09-08,340.0
