Date,y
2017-08-24,0.5
2017-10-27,0.5
2018-01-30,0.5
2018-05-25,0.5
2018-08-06,0.5
2018-10-23,0.5
2019-01-23,1.3
2019-05-03,0.5
2019-08-07,0.5
2019-11-05,0.5
2020-01-27,0.5
2020-04-10,0.5
2020-07-14,0.5
2020-10-20,0.5
2002-07-25,915.0
2002-11-08,835.0
2003-01-24,1046.0
2003-04-23,891.0
2003-07-23,1088.0
2003-10-15,1222.0
2004-01-22,963.0
2004-04-02,981.0
2004-10-20,764.0
2005-04-08,652.0
2005-10-13,633.0
2006-03-07,660.0
2006-05-08,1174.0
2006-06-06,1126.0
2006-07-05,1024.0
2006-08-10,905.0
2006-09-05,743.0
2006-10-03,638.0
2006-11-15,474.0
2006-12-11,360.0
2007-01-05,349.0
2007-02-12,293.0
2007-03-21,229.0
2007-04-04,213.0
2007-05-14,195.0
2007-06-11,195.0
2007-07-02,198.0
2007-08-06,212.0
2007-09-05,215.0
2007-10-16,250.0
2008-01-11,287.0
2008-03-05,360.0
2008-04-03,388.0
2008-05-23,427.0
2008-06-06,472.0
2008-07-01,496.0
2008-08-04,445.0
2008-09-02,416.0
2008-10-08,461.0
2008-11-05,480.0
2008-12-02,474.0
2009-01-06,432.0
2009-02-17,480.0
2009-03-05,466.0
2009-04-02,460.0
2009-05-01,453.0
2009-06-16,418.0
2009-07-01,407.0
2009-08-18,402.0
2009-09-03,409.0
2009-10-13,348.0
2009-11-03,298.0
2009-12-01,319.0
2010-01-05,213.0
2010-02-05,284.0
2010-03-02,264.0
2010-04-08,256.0
2010-05-05,248.0
2010-06-08,220.0
2010-07-09,253.0
2010-08-12,198.0
2010-09-14,190.0
2010-10-13,221.0
2010-11-12,183.0
2010-12-01,194.0
2011-01-11,215.0
2011-02-16,230.0
2011-03-08,175.0
2011-04-06,217.0
2011-05-16,267.0
2011-06-01,403.0
2011-07-29,361.0
2011-08-16,305.0
2011-09-17,335.0
2011-10-14,387.0
2011-11-09,454.0
2011-12-06,383.0
2012-01-05,421.0
2012-04-03,584.0
2012-08-09,624.0
2012-10-04,623.0
2013-02-15,805.0
2013-03-27,510.0
2013-04-15,624.0
2013-07-12,640.0
2013-11-15,280.0
2014-04-29,380.0
2014-07-08,340.0
2014-10-10,300.0
2015-01-21,240.0
2015-04-07,250.0
2015-07-22,180.0
2015-10-28,220.0
2016-02-17,250.0
2016-04-21,270.0
2016-08-30,370.0
2016-12-07,400.0
2017-02-02,400.0
2017-06-21,580.0
2017-08-24,440.0
2017-10-27,460.0
2018-01-30,460.0
2018-05-25,490.0
2018-08-06,460.0
2018-10-23,430.0
2019-01-23,440.0
2019-05-03,420.0
2019-08-07,400.0
2019-11-05,380.0
2020-01-27,320.0
2020-04-10,290.0
2020-07-14,280.0
2020-10-20,260.0
2002-10-16,81.0
2002-12-09,85.0
2003-01-24,96.0
2003-04-23,95.0
2003-07-22,112.0
2003-10-21,121.0
2004-01-22,145.0
2004-04-16,132.0
2004-10-25,187.0
2005-04-06,234.0
2005-11-03,245.0
2006-05-08,296.0
2006-07-14,289.0
2006-10-10,288.0
2007-01-03,281.0
2007-04-16,319.0
2007-07-12,363.0
2007-10-15,415.0
2008-01-18,399.0
2008-04-18,445.0
2008-07-02,479.0
2008-10-07,454.0
2009-01-09,487.0
2009-04-02,520.0
2009-07-08,543.0
2009-10-06,533.0
2010-01-06,405.0
2010-04-05,554.0
2010-07-08,590.0
2010-10-12,645.0
2011-01-04,495.0
2011-04-01,410.0
2011-08-01,499.0
2011-10-05,396.0
2012-01-05,432.0
2012-04-20,367.0
2012-10-04,328.0
2013-04-15,258.0
2013-10-02,280.0
2014-04-07,290.0
2014-10-09,300.0
2015-05-18,270.0
2015-10-27,250.0
2016-05-06,330.0
2016-12-07,330.0
2017-06-20,420.0
2017-10-30,350.0
2018-06-05,380.0
2018-11-21,420.0
2019-04-30,420.0
2019-11-05,480.0
2020-06-02,430.0
2020-11-05,450.0
